spot,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
고막원천1,16.4,7.2,10.6,2.5,5.9,12.1,237,3.509,0,0,0.141,0,0,3.6
고막원천2,17,7.9,10.6,2.8,6.5,13,254,2.88,2.422,0.118,0.128,0.079,22.3,4.2
광주천1,18.4,7.9,10.3,2.5,4.3,7.2,307,1.557,1.226,0.066,0.088,0.046,20.6,2.4
문평천,17.5,7.2,10,1.9,4.6,16.8,257,3.341,2.902,0.093,0.078,0.032,4.2,3
지석천1,18.5,8.1,10.6,2.2,5,6.1,181,1.49,1.195,0.04,0.06,0.028,13.7,3.3
지석천2,17.9,7.5,9.8,2.7,6.4,9.6,266,2.667,0,0,0.108,0,0,4.3
지석천3,18.1,8.2,11,3.1,5.9,8.7,251,2.064,1.719,0.036,0.089,0.046,34.8,4.5
함평천1,16.2,7.7,9.9,1.7,5.1,8,241,2.31,2.005,0.043,0.055,0.027,8.6,3.2
함평천2,16.9,8,10.2,2.1,6.4,11.2,284,1.264,0.857,0.044,0.055,0.023,13.5,3.9
황룡강1,17.3,7.7,10.5,1.7,4.2,4.7,253,0.706,0.47,0.022,0.034,0.008,7.9,2.4
황룡강2,17.7,8,11.1,1.8,4.7,4.2,230,1.15,0.934,0.023,0.035,0.012,9.3,2.7
황룡강3,18.1,7.3,9.9,2.9,6,8.7,257,1.906,0,0,0.069,0,0,3.8
황룡강4,19.1,8.2,10.6,3.3,5.7,11.6,269,1.278,0.884,0.064,0.058,0.014,29.9,3.3
