year,BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chlorophyll-a
2005,1.9,4.6,3.466,2.882,2.335,0.153,0.143,0.107,0.082,15.6
2006,2.1,5,3.361,3.106,2.571,0.193,0.144,0.105,0.089,21.4
2007,1.8,4.3,3.381,3.215,2.739,0.142,0.169,0.136,0.125,16.9
2008,1.9,5,3.177,2.961,2.423,0.182,0.161,0.131,0.109,22.9
2009,2,5.1,3.201,3.028,2.373,0.207,0.158,0.128,0.107,22.9
2010,1.5,5.2,3.185,3.04,2.536,0.149,0.123,0.095,0.081,14.1
2011,1.7,5.1,3.139,2.97,2.436,0.189,0.103,0.077,0.067,14.2
2012,1.6,4.8,3.242,3.052,2.611,0.154,0.085,0.121,0.044,15
2013,1.8,4.7,3.134,2.928,2.337,0.167,0.091,0.038,0.025,13.3
2014,1.9,5,3.043,2.827,2.386,0.152,0.063,0.04,0.023,14.6
2015,2.1,5.5,2.938,2.756,1.996,0.265,0.066,0.043,0.028,17.8
2016,1.9,5.6,2.957,2.822,2.401,0.172,0.059,0.041,0.028,13.2
2017,2.2,5.4,2.711,2.552,1.947,0.127,0.038,0.024,0.014,17.4
2018,1.8,5.7,3.031,2.871,2.221,0.115,0.046,0.03,0.02,12.7
2019,1.6,5.2,2.715,2.549,2.088,0.079,0.047,0.034,0.018,13.1
