year,BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chlorophyll-a
2019,1.7 ,5.2 ,2.816 ,2.643 ,2.200 ,0.068 ,0.044 ,0.031 ,0.014 ,0.014 
2018,1.8 ,5.7 ,3.153 ,2.990 ,2.324 ,0.110 ,0.043 ,0.028 ,0.017 ,0.014 
2017,2.2 ,5.3 ,2.798 ,2.636 ,2.051 ,0.117 ,0.034 ,0.020 ,0.010 ,0.019 
2016,1.9 ,5.5 ,3.010 ,2.878 ,2.534 ,0.139 ,0.052 ,0.035 ,0.022 ,0.014 
2015,1.9 ,5.2 ,2.857 ,2.683 ,2.081 ,0.129 ,0.050 ,0.032 ,0.017 ,0.020 
2014,2.0 ,4.8 ,3.124 ,2.902 ,2.513 ,0.130 ,0.053 ,0.034 ,0.017 ,0.016 
2013,1.7 ,4.7 ,3.189 ,2.993 ,2.413 ,0.151 ,0.089 ,0.034 ,0.021 ,0.014 
2012,1.6 ,4.7 ,3.296 ,3.106 ,2.685 ,0.144 ,0.084 ,0.131 ,0.043 ,0.015 
2011,1.7 ,5.2 ,3.184 ,3.007 ,2.517 ,0.154 ,0.112 ,0.083 ,0.072 ,0.016 
2010,1.6 ,5.3 ,3.233 ,3.077 ,2.602 ,0.128 ,0.132 ,0.101 ,0.086 ,0.016 
2009,2.1 ,5.3 ,3.356 ,3.167 ,2.495 ,0.210 ,0.173 ,0.140 ,0.117 ,0.026 
2008,2.0 ,5.2 ,3.304 ,3.064 ,2.509 ,0.176 ,0.179 ,0.144 ,0.120 ,0.026 
2007,1.8 ,4.5 ,3.568 ,3.386 ,2.900 ,0.143 ,0.185 ,0.150 ,0.138 ,0.019 
2006,2.1 ,5.1 ,3.547 ,3.273 ,2.684 ,0.209 ,0.151 ,0.110 ,0.093 ,0.024 
2005,1.9 ,4.8 ,3.598 ,3.000 ,2.438 ,0.157 ,0.151 ,0.112 ,0.088 ,0.016 
