point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
a_상주2,2.023 ,2.264 ,2.279 ,2.016 ,1.880 ,2.050 ,1.904 ,2.029 ,1.850 ,2.065 ,1.377 ,2.064 ,1.669 ,2.125 ,1.724 
b_상주3,1.987 ,2.241 ,2.184 ,1.852 ,1.800 ,2.042 ,2.201 ,2.009 ,1.991 ,1.946 ,1.409 ,1.999 ,1.666 ,2.121 ,1.760 
c_산곡,1.880 ,2.236 ,2.290 ,1.917 ,1.820 ,1.935 ,2.060 ,1.991 ,1.663 ,2.009 ,1.266 ,2.123 ,1.612 ,2.011 ,1.708 
d_강정,1.989 ,2.250 ,2.329 ,1.989 ,1.885 ,1.963 ,2.066 ,2.156 ,1.759 ,2.133 ,1.407 ,2.085 ,1.703 ,2.155 ,1.686 
e_구미,2.358 ,2.819 ,2.284 ,2.108 ,2.239 ,2.239 ,2.490 ,2.353 ,2.119 ,2.258 ,1.687 ,2.118 ,1.863 ,2.230 ,1.890 
f_왜관,2.249 ,2.535 ,2.319 ,2.260 ,2.086 ,2.334 ,2.291 ,2.272 ,1.996 ,2.264 ,1.645 ,2.211 ,1.882 ,2.219 ,1.907 
g_성주,2.038 ,2.472 ,2.271 ,1.853 ,2.047 ,2.217 ,2.355 ,2.215 ,1.881 ,2.174 ,1.541 ,2.203 ,1.783 ,2.088 ,1.848 
h_달성,1.993 ,2.434 ,2.204 ,2.034 ,1.933 ,2.106 ,2.270 ,2.180 ,1.810 ,2.094 ,1.483 ,2.113 ,1.760 ,2.023 ,1.756 
i_화원나루,3.098 ,3.722 ,3.620 ,3.312 ,3.558 ,3.687 ,3.280 ,2.741 ,2.190 ,3.337 ,2.424 ,2.857 ,2.371 ,2.739 ,2.333 
j_고령,2.841 ,3.172 ,3.225 ,3.241 ,3.497 ,3.210 ,3.143 ,3.144 ,2.593 ,3.066 ,2.484 ,3.100 ,2.373 ,2.504 ,2.409 
k_현풍,2.704 ,3.263 ,3.166 ,3.210 ,3.413 ,3.244 ,2.932 ,3.066 ,2.557 ,3.048 ,2.422 ,2.784 ,2.485 ,2.773 ,2.481 
l_창녕,2.430 ,2.392 ,2.385 ,2.525 ,2.848 ,2.735 ,3.182 ,2.635 ,2.578 ,2.280 ,2.008 ,2.068 ,2.095 ,2.350 ,2.323 
m_합천,2.167 ,2.042 ,2.199 ,2.272 ,2.488 ,2.511 ,2.780 ,2.490 ,2.626 ,2.291 ,2.066 ,2.288 ,2.181 ,2.489 ,2.293 
n_남지,1.955 ,1.953 ,2.075 ,2.040 ,1.995 ,2.134 ,2.453 ,2.217 ,2.260 ,1.817 ,1.582 ,1.569 ,1.719 ,1.958 ,1.995 
