spot,BOD,COD,TOC,K_means,GMM,SOM
고막원천1,2.5,5.9,3.6,2,3,1
고막원천2,2.8,6.5,4.2,2,3,2
고막원천3,4.2,8.1,5.2,1,4,3
고막원천4,4.3,10,6.2,3,2,4
광주천1,2.5,4.3,2.4,4,1,1
광주천2,6.6,10.7,7,3,2,4
만봉천,3.2,7.9,5.2,1,4,3
문평천,1.9,4.6,3,4,1,1
삼포천1,5.5,12.2,7.7,3,2,4
삼포천2,4.3,10.5,7.2,3,2,4
영산천,3.2,7.8,5.4,1,4,3
영암천1,1.9,8,4.2,2,3,2
영암천2,3.7,9.4,6.3,3,2,4
장성천1,3.7,8.1,5.3,1,4,3
장성천2,4.2,10,6.7,3,2,4
지석천1,2.2,5,3.3,4,1,1
지석천2,2.7,6.4,4.3,2,3,2
지석천3,3.1,5.9,4.5,2,3,2
지석천4,3.6,7.4,5.1,1,4,3
평동천,3.7,10.2,7.1,3,2,4
풍영정천1,3.1,7.6,4.6,1,3,2
풍영정천2,5,9.6,6.8,3,2,4
함평천1,1.7,5.1,3.2,4,1,1
함평천2,2.1,6.4,3.9,2,3,1
함평천3,3.6,9.9,7,3,2,4
황룡강1,1.7,4.2,2.4,4,1,1
황룡강2,1.8,4.7,2.7,4,1,1
황룡강3,2.9,6,3.8,2,3,2
황룡강4,3.3,5.7,3.3,2,3,2
황룡강5,4.4,7.5,5.1,1,4,3
