point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
a_상주2,0.8 ,0.8 ,0.8 ,0.9 ,1.0 ,1.0 ,1.0 ,1.2 ,1.9 ,1.8 ,1.6 ,2.0 ,1.6 ,1.9 ,1.8 
b_상주3,0.8 ,0.7 ,0.9 ,0.9 ,1.1 ,1.2 ,1.2 ,1.3 ,1.6 ,1.7 ,1.7 ,1.6 ,1.5 ,1.5 ,1.5 
c_산곡,0.9 ,0.7 ,0.9 ,0.9 ,1.1 ,1.0 ,1.0 ,1.4 ,1.8 ,1.9 ,1.5 ,2.0 ,2.1 ,2.1 ,1.9 
d_강정,1.1 ,0.8 ,1.0 ,1.0 ,1.2 ,1.1 ,1.1 ,1.4 ,1.6 ,1.8 ,1.6 ,2.0 ,1.9 ,1.9 ,1.9 
e_구미,1.9 ,1.9 ,1.6 ,1.5 ,2.0 ,1.5 ,1.4 ,1.8 ,2.0 ,2.4 ,2.3 ,2.0 ,1.8 ,2.0 ,2.1 
f_왜관,1.9 ,1.7 ,1.8 ,1.8 ,1.9 ,1.5 ,1.5 ,1.8 ,1.9 ,2.4 ,1.8 ,1.9 ,1.9 ,2.0 ,1.9 
g_성주,2.1 ,2.0 ,2.2 ,2.3 ,2.2 ,1.6 ,1.5 ,1.8 ,2.2 ,2.5 ,1.9 ,2.4 ,2.3 ,2.4 ,1.9 
h_달성,2.2 ,2.1 ,2.2 ,2.3 ,2.6 ,1.6 ,1.6 ,2.0 ,2.1 ,2.5 ,2.1 ,2.5 ,2.5 ,2.4 ,2.0 
i_화원나루,3.3 ,3.2 ,3.3 ,3.0 ,3.0 ,2.1 ,2.0 ,2.4 ,2.4 ,2.9 ,3.1 ,2.4 ,2.1 ,2.2 ,2.5 
j_고령,2.9 ,2.8 ,2.8 ,3.1 ,3.3 ,2.0 ,2.0 ,2.4 ,2.4 ,2.9 ,3.0 ,2.8 ,2.8 ,2.6 ,2.4 
k_현풍,2.8 ,2.8 ,2.8 ,3.0 ,3.3 ,2.1 ,2.1 ,2.4 ,2.3 ,2.8 ,2.9 ,2.4 ,2.2 ,2.4 ,2.4 
l_창녕,3.0 ,3.3 ,2.6 ,2.7 ,2.8 ,1.8 ,2.2 ,2.5 ,2.5 ,2.3 ,2.0 ,2.1 ,2.0 ,2.1 ,1.8 
m_합천,2.8 ,2.8 ,2.2 ,2.4 ,2.6 ,1.5 ,1.9 ,2.1 ,2.3 ,2.0 ,1.7 ,2.1 ,1.9 ,2.0 ,2.0 
n_남지,3.0 ,2.7 ,2.5 ,2.8 ,3.0 ,1.8 ,1.8 ,2.4 ,2.4 ,2.3 ,2.0 ,2.1 ,2.0 ,2.1 ,1.7 
