pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Rain
7.2,13.9,4.3,279,1.6,3.8,4.6,2.619,0.044,3,1260,0.151,0.019,4.9,139,47.2
7.1,12.7,4.8,315,2,3.6,4.6,2.589,0.051,3,2605,0.145,0.02,6.5,785,23.9
7.6,12.2,8.3,376,4.4,7.8,12.2,2.085,0.075,5.8,799,0.077,0.009,47,158,36.5
7.6,10,15.4,285,4.3,7.5,20.2,1.819,0.119,4.9,7938,0.158,0.02,54.3,410,145.5
7.2,7.8,19.7,255,3.4,7,12.1,1.724,0.119,5.5,1170,0.306,0.046,22.6,163,48.6
7,7.8,23.3,268,3.6,9.1,13,2.624,0.134,6.8,2422,0.323,0.067,10,532,96.1
7.2,7.7,26,237,2,6.4,8,2.241,0.125,5,3755,0.074,0.04,17.6,530,164.3
7,7.7,26.2,231,2,5.4,7.6,1.403,0.11,4.3,4500,0.063,0.045,7.9,611,148.9
7.2,8.4,21.8,290,1.3,5.1,4.2,1.276,0.086,4.3,2410,0.062,0.034,4.9,396,66.6
7.1,9,18.2,298,1.7,5.7,5.7,1.596,0.09,5.8,8925,0.126,0.046,5.4,1448,90.9
7,9.7,13.5,294,2.3,6.2,5.2,2.306,0.113,5.1,10200,0.304,0.064,10.1,1354,121.9
7,12.3,7.3,301,1.5,4.2,2.3,2.745,0.066,2,6880,0.183,0.029,3.1,252,59.2
7.5,12.3,4.7,317,1.5,3.5,4.1,3.025,0.059,3.8,2500,0.236,0.018,5.1,120,49.9
7.1,13.5,4.7,271,2.1,4.5,8.6,2.744,0.073,4.3,8075,0.248,0.031,6.7,468,45.2
7.2,12,9,287,2.7,5.6,15.1,2.506,0.096,4.8,6940,0.181,0.024,14.9,328,55.2
7.3,10.1,16,255,3,6.6,16.9,1.907,0.108,5.1,3475,0.14,0.022,31.6,745,185
7.1,11.2,19.8,264,1.9,5.6,11.3,1.773,0.092,4.6,4475,0.121,0.039,13.1,375,104.5
6.9,6.9,23.5,243,2.6,8,12.6,2.377,0.119,7,4700,0.249,0.063,7.7,296,116.1
7.1,7.9,26.1,204,2.4,5.7,11.8,1.852,0.119,5.4,11300,0.089,0.058,20.7,1293,301.4
7,7.3,27.8,286,2.4,7.1,8.2,1.152,0.109,5.7,2052,0.071,0.035,19.4,242,81
7.3,8.2,22.9,204,1.8,6.4,8.7,1.725,0.098,4.8,10875,0.162,0.048,7.9,1960,251.3
7.3,8.7,18.7,190,1.2,5.2,8.6,2.114,0.097,3.9,20000,0.076,0.057,3.8,1450,216.7
7.6,10.6,11.8,323,1.4,4.4,3.9,2.209,0.094,3.9,10980,0.06,0.048,9.6,140,31.5
7.8,12.3,6.1,356,1.3,3.9,3.3,2.573,0.056,3.5,15875,0.077,0.02,8.6,210,44.9
7.4,11.6,3.8,327,1.5,4.3,4.2,2.898,0.079,3.3,2800,0.224,0.029,7.3,180,11.7
7.8,12.5,4.8,307,1.8,4.5,5.6,2.929,0.086,3.5,1240,0.222,0.041,8.5,200,41.9
7.7,13.6,10.1,366,4,6.6,13.4,2.255,0.091,5.8,1150,0.062,0.014,42.5,173,7.8
8.5,11.4,15.9,329,5.9,11,18.1,1.422,0.109,7.8,8188,0.024,0.006,110.6,150,8.9
7.8,10.9,20.6,364,5.8,13.4,21.2,1.626,0.138,9.1,610,0.124,0.01,71.4,56,28.1
6.9,7.3,23.7,332,3.9,12.7,12.9,2.142,0.121,9.5,1158,0.286,0.026,32,285,42.1
7.3,6.6,26.9,225,2.3,8.4,10.3,1.971,0.118,6.2,7050,0.162,0.047,14.1,1378,211.7
7.3,7.5,26.5,183,2.5,7.1,21.5,1.404,0.112,5.3,15600,0.091,0.064,20.4,2218,273.8
7.2,8.4,22.4,221,1.7,5.8,6.7,1.412,0.08,4.5,5300,0.038,0.041,10.7,1438,108.8
7.8,11.6,17.2,346,1.6,5.5,3.7,1.813,0.071,4.2,2500,0.092,0.03,17.9,275,85.4
7.9,11.9,8.8,493,4.1,7.3,9.9,1.917,0.07,6,895,0.192,0.006,77.5,73,2.1
7.4,12.7,4.2,363,3.3,5.9,7.5,2.72,0.067,5,2075,0.269,0.005,49.1,558,28.5
8,12.1,3.3,328,2.9,5.6,6.7,2.627,0.072,4.5,7000,0.246,0.012,34.1,574,38.8
8.2,9.5,4,440,3.2,5.8,7.7,2.659,0.095,4.5,1068,0.075,0.012,46.8,361,22
7.2,10.7,11,261,3.5,7.4,15.6,2.59,0.108,5.5,11450,0.202,0.028,34.2,1195,115.8
7.6,9.8,15.6,272,2.5,6.6,9.2,2.231,0.094,5,4640,0.064,0.023,35.7,380,127.4
7.4,9.2,20.2,253,2.7,7.2,11.6,2.233,0.131,5.9,6525,0.252,0.058,15.9,433,85.4
7.1,6.9,24.7,255,2.9,10.8,8.7,1.858,0.115,8.5,2650,0.12,0.05,13.9,278,222.4
7.5,8,27.3,276,3.6,9.6,13.8,1.626,0.125,6.8,5040,0.039,0.074,29.7,1000,84.5
7.2,7.4,26.9,305,2.5,8.4,9.4,1.399,0.112,6.4,7125,0.028,0.05,17.8,1138,397.1
7.5,9.7,23.1,182,2.1,5.3,7.4,1.922,0.082,4.5,8875,0.031,0.036,18.5,1570,129.7
8,11.3,16.2,272,2,5.8,5.6,1.969,0.078,5.3,8820,0.032,0.03,13.8,1136,125.2
7.5,10.4,11.2,305,1.8,5.8,5.5,2.035,0.088,5.8,5075,0.013,0.038,18.1,310,47.2
7.7,13,5.9,319,1.8,4.3,4.5,2.509,0.071,4.9,4400,0.078,0.034,18.5,1098,32.4
7.9,12.5,3.4,383,1.7,4.3,4.6,2.71,0.073,4.3,523,0.092,0.014,16.6,178,16.4
